table_id,time_quantum,processes
1,4,"0.2,4.8,4;7.9,0.6,3;5.2,1.0,5;6.1,3.7,3;7.8,0.7,5;3.1,6.4,1;7.2,1.2,5;9.7,1.5,9"
2,4,"8.5,4.2,8;2.6,4.3,3;6.4,1.3,7;7.9,3.2,3;5.5,3.6,7"
3,5,"0.4,7.1,7;0,3.6,5;0,12.5,6;0,12.8,4;0,5.0,3;1.2,11.6,7;0,3.0,7;3.7,14.2,6;0,12.5,6;0.9,5.6,7;4.0,6.4,4;0,14.9,7"
4,4,"3.4,0.8,7;8.0,0.7,1;1.0,1.8,1;9.3,0.7,1;3.3,1.8,2;7.1,1.0,6;8.0,1.6,1;0.6,1.2,10"
5,2,"3.2,7.4,9;11.6,1.3,10;9.2,8.8,7;16.4,7.5,10;15.8,2.5,9;15.0,3.4,5;19.8,1.2,1;5.4,5.8,7;9.8,4.5,9;11.4,9.2,6;0.0,2.7,5;13.2,4.7,5"
6,1,"2.3,3.9,6;0.4,1.0,3;9.4,9.5,1;5.1,4.2,5;3.5,1.9,5;5.9,1.5,5;3.1,5.3,6;2.6,3.9,9;8.7,4.6,1;9.9,1.4,6;5.7,2.6,5;3.3,0.7,6;7.1,2.9,5;8.6,1.6,3;7.0,5.7,3;5.3,1.5,2;8.3,2.9,5;7.9,0.7,6"
7,3,"0,4.4,6;0,2.3,3;0,9.0,5;0,8.8,7;0,14.9,5;4.3,5.2,6;0,1.2,6;0,13.7,6;1.3,4.6,6;1.6,3.5,6;1.8,6.6,4;0,3.0,7;0,8.3,6;0,5.2,3;0,7.3,6;1.2,9.5,7;2.3,1.1,5"
8,,"0,10.2,5;0,10.1,5;0,9.9,5;0,10.7,5;0,9.6,5;0,9.7,5;0,11.0,5;0,9.9,5;0,10.3,5;0,9.9,5;0,10.8,5;0,10.8,5;0,10.1,5;0,9.5,5"
9,1,"0.5,0.9,3;0.2,1.2,9;2.0,2.2,10;6.5,0.6,5;9.3,1.0,6"
10,,"0,5.2,5;0,5.4,5;0,5.7,5;0,5.5,5;0,5.6,5;0,5.0,5;0,5.2,5;0,5.0,5;0,5.6,5;0,5.1,5;0,5.1,5;0,4.8,5;0,5.1,5;0,5.6,5;0,5.2,5"
11,5,"1.5,8.8,6;4.7,7.1,7;5.7,7.6,4;5.8,10.6,4;1.6,12.2,6;1.3,3.2,7;1.9,9.6,7;0,1.3,5;4.2,4.7,7;3.4,6.6,7;4.6,9.4,5;2.9,10.5,3;3.8,9.1,6"
12,3,"17.5,7.4,6;15.4,3.3,8;2.3,6.5,5;2.5,7.3,10;5.1,6.0,8;12.8,4.2,10;5.8,3.4,1;7.4,4.1,8;1.6,8.1,8;11.8,1.0,7;15.3,6.0,10"
